fecha;provincia;personas_vacunadas
2020-12-27;Ávila;0
2020-12-27;Soria;0
2020-12-28;León;0
2020-12-28;Salamanca;0
2020-12-28;Soria;0
2020-12-28;Valladolid;1
2020-12-29;Burgos;0
2020-12-29;León;0
2020-12-29;Valladolid;0
2020-12-30;Burgos;775
2020-12-30;Salamanca;1511
2020-12-30;Valladolid;647
2021-01-01;Ávila;0
2021-01-01;León;0
2021-01-01;Palencia;0
2021-01-02;León;86
2021-01-02;Salamanca;3
2021-01-03;Burgos;567
2021-01-03;León;134
2021-01-04;Burgos;351
2021-01-04;León;428
2021-01-04;Palencia;507
2021-01-04;Salamanca;1346
2021-01-05;Burgos;1126
2021-01-05;Salamanca;4
2021-01-05;Segovia;413
2021-01-05;Zamora;458
2021-01-06;León;0
2021-01-06;Valladolid;0
2021-01-07;Ávila;185
2021-01-07;Burgos;975
2021-01-07;Salamanca;1359
2021-01-07;Soria;210
2021-01-07;Valladolid;1066
2021-01-07;Zamora;465
2021-01-08;León;1273
2021-01-08;Segovia;332
2021-01-09;Ávila;0
2021-01-09;Segovia;0
2021-01-10;Palencia;0
2021-01-10;Segovia;0
2021-01-10;Soria;327
2021-01-10;Valladolid;3
2021-01-11;Ávila;459
2021-01-11;Palencia;829
2021-01-11;Salamanca;1131
2021-01-11;Segovia;2
2020-12-27;León;0
2020-12-27;Palencia;118
2020-12-28;Ávila;0
2020-12-29;Palencia;203
2020-12-29;Zamora;0
2020-12-30;León;1929
2020-12-30;Segovia;267
2021-01-01;Soria;0
2021-01-02;Segovia;0
2021-01-03;Salamanca;0
2021-01-04;Valladolid;1167
2021-01-04;Zamora;483
2021-01-05;León;944
2020-12-27;Zamora;0
2020-12-28;Burgos;0
2020-12-28;Zamora;0
2020-12-29;Ávila;0
2020-12-29;Salamanca;0
2020-12-30;Ávila;419
2020-12-30;Palencia;432
2020-12-30;Zamora;328
2020-12-31;León;89
2020-12-31;Zamora;0
2021-01-01;Burgos;0
2021-01-01;Zamora;0
2021-01-07;León;1162
2021-01-07;Segovia;198
2021-01-08;Burgos;1105
2020-12-27;Burgos;0
2020-12-29;Segovia;0
2020-12-31;Ávila;0
2021-01-01;Segovia;0
2021-01-02;Ávila;1
2021-01-03;Palencia;1
2021-01-05;Ávila;465
2021-01-06;Burgos;0
2021-01-09;León;70
2021-01-10;Zamora;217
2021-01-11;Valladolid;1080
2021-01-02;Burgos;836
2021-01-02;Soria;417
2021-01-05;Palencia;587
2021-01-06;Zamora;0
2021-01-07;Palencia;793
2021-01-08;Ávila;418
2021-01-08;Soria;1
2021-01-08;Zamora;465
2021-01-09;Palencia;173
2021-01-09;Salamanca;1
2021-01-09;Zamora;0
2021-01-11;Soria;295
2020-12-31;Palencia;0
2021-01-02;Valladolid;707
2021-01-02;Zamora;248
2021-01-03;Valladolid;247
2021-01-03;Zamora;251
2021-01-04;Soria;359
2021-01-05;Soria;177
2021-01-06;Ávila;237
2021-01-06;Palencia;3
2021-01-06;Segovia;0
2021-01-06;Soria;0
2021-01-08;Palencia;576
2021-01-09;Burgos;0
2021-01-09;Soria;0
2021-01-10;León;2
2021-01-10;Salamanca;2
2021-01-11;Burgos;426
2021-01-11;León;168
2021-01-11;Zamora;506
2020-12-28;Palencia;318
2020-12-28;Segovia;0
2020-12-30;Soria;380
2020-12-31;Salamanca;0
2020-12-31;Segovia;0
2020-12-31;Soria;0
2020-12-31;Valladolid;3
2021-01-01;Salamanca;0
2021-01-01;Valladolid;0
2021-01-02;Palencia;3
2021-01-03;Ávila;0
2021-01-03;Segovia;0
2021-01-03;Soria;383
2021-01-04;Ávila;718
2021-01-04;Segovia;2
2021-01-05;Valladolid;1330
2021-01-06;Salamanca;7
2021-01-08;Salamanca;1242
2021-01-08;Valladolid;1223
2021-01-09;Valladolid;191
2021-01-10;Ávila;1
2021-01-10;Burgos;0
2020-12-27;Salamanca;0
2020-12-27;Segovia;0
2020-12-27;Valladolid;3
2020-12-29;Soria;0
2020-12-31;Burgos;0
